bhk,area,price_lakh,price_per_sqft,area_per_bhk,region_encoded,type_Independent House,type_Penthouse,type_Studio Apartment,type_Villa,status_Under Construction,age_Resale,age_Unknown,log_price
1,615,27.0,4390.243902439024,615.0,72.81203281300759,False,False,False,False,True,False,False,3.332204510175204
2,975,43.0,4410.25641025641,487.5,72.81203281300759,False,False,False,False,True,False,False,3.784189633918261
1,535,22.0,4112.14953271028,535.0,72.81203281300759,False,False,False,False,True,False,False,3.1354942159291497
1,545,23.5,4311.926605504587,545.0,72.81203281300759,False,False,False,False,True,False,False,3.1986731175506815
2,930,41.0,4408.602150537635,465.0,72.81203281300759,False,False,False,False,True,False,False,3.7376696182833684
1,565,24.5,4336.283185840708,565.0,72.81203281300759,False,False,False,False,True,False,False,3.2386784521643803
2,543,128.0,23572.744014732965,271.5,173.4314643591054,False,False,False,False,True,False,False,4.859812404361672
2,859,202.0,23515.715948777648,429.5,173.4314643591054,False,False,False,False,True,False,False,5.313205979041787
2,590,139.0,23559.322033898305,295.0,173.4314643591054,False,False,False,False,True,False,False,4.941642422609304
1,430,101.0,23488.372093023256,430.0,173.4314643591054,False,False,False,False,True,False,False,4.624972813284271
2,705,166.0,23546.09929078014,352.5,173.4314643591054,False,False,False,False,True,False,False,5.117993812416755
1,421,99.0,23515.43942992874,421.0,173.4314643591054,False,False,False,False,True,False,False,4.605170185988092
2,610,156.0,25573.77049180328,305.0,154.5414235091389,False,False,False,False,True,False,False,5.056245805348308
2,708,74.62,10539.54802259887,354.0,54.37652506399312,False,False,False,False,True,False,False,4.325720798462787
2,691,72.81,10536.903039073806,345.5,54.37652506399312,False,False,False,False,True,False,False,4.301494223781961
2,829,87.21,10519.903498190592,414.5,54.37652506399312,False,False,False,False,True,False,False,4.479720335270676
2,680,71.01,10442.647058823532,340.0,54.37652506399312,False,False,False,False,True,False,False,4.276804998260776
2,695,73.21,10533.812949640287,347.5,54.37652506399312,False,False,False,False,True,False,False,4.306898911982042
2,749,79.89,10666.221628838452,374.5,54.37652506399312,False,False,False,False,True,False,False,4.393090207029862
3,1014,106.0,10453.648915187377,338.0,54.37652506399312,False,False,False,False,True,False,False,4.672828834461906
1,461,38.0,8242.95010845987,461.0,80.92040582439022,False,False,False,False,True,False,False,3.6635616461296463
2,608,46.0,7565.789473684211,304.0,80.92040582439022,False,False,False,False,True,False,False,3.8501476017100584
1,431,135.0,31322.505800464038,431.0,217.4206667645116,False,False,False,False,True,False,False,4.912654885736052
1,454,63.0,13876.651982378855,454.0,80.58596431671249,False,False,False,False,True,False,False,4.1588830833596715
1,490,58.0,11836.734693877552,490.0,80.58596431671249,False,False,False,False,True,False,False,4.07753744390572
2,1091,131.0,12007.332722273144,545.5,80.58596431671249,False,False,False,False,True,False,False,4.882801922586371
2,666,82.0,12312.312312312311,333.0,80.58596431671249,False,False,False,False,True,False,False,4.418840607796598
2,725,170.0,23448.275862068964,362.5,145.5532452872774,False,False,False,False,False,False,False,5.14166355650266
4,1492,340.0,22788.203753351205,373.0,145.5532452872774,False,False,False,False,False,False,False,5.831882477283517
2,715,168.0,23496.503496503497,357.5,145.5532452872774,False,False,False,False,False,False,False,5.1298987149230735
1,505,108.0,21386.138613861385,505.0,145.5532452872774,False,False,False,False,False,False,False,4.6913478822291435
2,644,158.0,24534.16149068323,322.0,126.4613880545538,False,False,False,False,True,False,False,5.0689042022202315
2,635,165.0,25984.251968503937,317.5,126.4613880545538,False,False,False,False,True,False,False,5.111987788356544
1,514,38.74,7536.964980544747,514.0,49.83437662994102,False,False,False,False,True,False,False,3.6823582371236707
2,685,225.99999999999997,32992.700729927004,342.5,214.9569558723846,False,False,False,False,True,False,False,5.424950017481403
2,1002,47.45,4735.528942115769,501.0,43.581868493629244,False,False,False,False,True,False,False,3.880532338336775
1,840,38.27,4555.952380952382,840.0,43.581868493629244,False,False,False,False,True,False,False,3.6704608685899185
1,702,31.99,4556.980056980057,702.0,43.581868493629244,False,False,False,False,True,False,False,3.49620448524049
2,1030,48.78,4735.922330097087,515.0,43.581868493629244,False,False,False,False,True,False,False,3.907613296939446
2,1027,48.63,4735.1509250243425,513.5,43.581868493629244,False,False,False,False,True,False,False,3.9045954895993495
1,730,33.26,4556.164383561644,730.0,43.581868493629244,False,False,False,False,True,False,False,3.5339784928959737
1,790,36.0,4556.962025316456,790.0,43.581868493629244,False,False,False,False,True,False,False,3.6109179126442243
2,950,44.99,4735.789473684211,475.0,43.581868493629244,False,False,False,False,True,False,False,3.8284239815518326
2,1063,50.34,4735.653809971778,531.5,43.581868493629244,False,False,False,False,True,False,False,3.9384701754429945
2,1057,50.05,4735.099337748345,528.5,43.581868493629244,False,False,False,False,True,False,False,3.9328055446106744
2,1008,47.73,4735.119047619048,504.0,43.581868493629244,False,False,False,False,True,False,False,3.8862948568554145
2,1070,50.67,4735.514018691589,535.0,43.581868493629244,False,False,False,False,True,False,False,3.9448773422990935
1,812,37.0,4556.6502463054185,812.0,43.581868493629244,False,False,False,False,True,False,False,3.6375861597263857
2,1012,47.92,4735.177865612648,506.0,43.581868493629244,False,False,False,False,True,False,False,3.890186310818972
1,740,39.22,5300.0,740.0,49.83437662994102,False,False,False,False,False,False,False,3.6943643843445058
2,1045,55.38,5299.521531100479,522.5,49.83437662994102,False,False,False,False,False,False,False,4.032114485685967
1,690,36.57,5300.0,690.0,49.83437662994102,False,False,False,False,False,False,False,3.6262058595858777
2,1085,57.5,5299.539170506912,542.5,49.83437662994102,False,False,False,False,False,False,False,4.069026754237811
2,1060,56.18,5300.0,530.0,49.83437662994102,False,False,False,False,False,False,False,4.046204186894165
1,795,42.13,5299.37106918239,795.0,49.83437662994102,False,False,False,False,False,False,False,3.764218810659752
1,384,91.01,23700.520833333332,384.0,159.61799580374208,False,False,False,False,True,False,False,4.52189726679427
2,558,132.0,23655.913978494624,279.0,159.61799580374208,False,False,False,False,True,False,False,4.890349128221754
2,557,132.0,23698.3842010772,278.5,159.61799580374208,False,False,False,False,True,False,False,4.890349128221754
2,618,146.0,23624.595469255662,309.0,159.61799580374208,False,False,False,False,True,False,False,4.990432586778736
1,501,29.5,5888.223552894212,501.0,43.581868493629244,False,False,False,False,False,False,False,3.417726683613366
1,399,24.5,6140.350877192983,399.0,43.581868493629244,False,False,False,False,False,False,False,3.2386784521643803
1,440,26.5,6022.727272727273,440.0,43.581868493629244,False,False,False,False,False,False,False,3.3141860046725258
2,635,36.5,5748.031496062992,317.5,43.581868493629244,False,False,False,False,False,False,False,3.624340932976365
2,569,33.0,5799.648506151142,284.5,43.581868493629244,False,False,False,False,False,False,False,3.5263605246161616
1,464,27.5,5926.724137931034,464.0,43.581868493629244,False,False,False,False,False,False,False,3.349904087274605
1,422,26.0,6161.137440758293,422.0,43.581868493629244,False,False,False,False,False,False,False,3.295836866004329
2,937,135.0,14407.684098185699,468.5,126.3770527009414,False,False,False,False,True,False,False,4.912654885736052
2,945,144.0,15238.095238095239,472.5,126.3770527009414,False,False,False,False,True,False,False,4.976733742420574
3,1198,179.0,14941.569282136896,399.3333333333333,126.3770527009414,False,False,False,False,True,False,False,5.19295685089021
3,1698,248.0,14605.418138987043,566.0,126.3770527009414,False,False,False,False,True,False,False,5.517452896464707
3,895,142.0,15865.921787709498,298.3333333333333,80.92040582439022,False,False,False,False,True,False,False,4.962844630259907
2,601,97.92,16292.845257903495,300.5,80.92040582439022,False,False,False,False,True,False,False,4.594311442653216
2,679,124.0,18262.150220913107,339.5,126.4613880545538,False,False,False,False,True,False,False,4.8283137373023015
3,887,187.0,21082.29988726043,295.6666666666667,126.4613880545538,False,False,False,False,True,False,False,5.236441962829949
2,692,53.0,7658.959537572255,346.0,41.84759169743622,False,False,False,False,True,False,False,3.9889840465642745
1,487,36.99,7595.482546201232,487.0,41.84759169743622,False,False,False,False,True,False,False,3.6373229671995344
1,515,75.0,14563.106796116504,515.0,77.87313656153901,False,False,False,False,True,False,False,4.330733340286331
1,427,102.0,23887.58782201405,427.0,147.93148614995454,False,False,False,False,True,False,False,4.634728988229636
1,380,91.2,24000.0,380.0,147.93148614995454,False,False,False,False,True,False,False,4.523960130562548
2,517,124.0,23984.526112185686,258.5,147.93148614995454,False,False,False,False,True,False,False,4.8283137373023015
1,651,20.0,3072.1966205837175,651.0,214.9569558723846,False,False,False,False,False,True,False,3.044522437723423
2,1000,32.0,3200.0,500.0,43.581868493629244,False,False,False,False,False,True,False,3.4965075614664802
2,950,80.0,8421.052631578947,475.0,79.4171189547972,False,False,False,False,True,True,False,4.394449154672439
2,950,55.0,5789.473684210527,475.0,104.76345017978966,False,False,False,False,True,True,False,4.02535169073515
1,650,20.0,3076.923076923077,650.0,214.9569558723846,False,False,False,False,False,True,False,3.044522437723423
4,2100,325.0,15476.190476190477,525.0,192.72574132258737,False,False,False,False,False,True,False,5.786897381366708
1,720,47.0,6527.777777777777,720.0,54.48903615882791,False,False,False,False,True,True,False,3.871201010907891
3,1530,285.0,18627.450980392157,510.0,159.61799580374208,False,False,False,False,False,True,False,5.655991810819852
1,560,25.0,4464.285714285715,560.0,39.287118358284125,False,False,False,False,False,True,False,3.258096538021482
1,400,79.8,19950.0,400.0,160.9075346419215,False,False,False,False,True,True,False,4.39197696552705
1,530,22.79,4300.0,530.0,38.84665177047768,False,False,False,False,False,True,False,3.1692653243148663
2,920,65.0,7065.217391304348,460.0,54.48903615882791,False,False,False,False,True,True,False,4.189654742026425
1,550,25.0,4545.454545454545,550.0,49.20071927664729,False,False,False,False,False,True,False,3.258096538021482
1,650,20.0,3076.923076923077,650.0,36.75380845811216,False,False,False,False,True,True,False,3.044522437723423
1,520,25.0,4807.692307692308,520.0,39.287118358284125,False,False,False,False,False,True,False,3.258096538021482
